[2025-12-31 09:14:28] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-30
正在获取论文...
[IEEE] 2025-12-30 | Table of Contents
[IEEE] 2025-12-30 | Development of Interactive Online Magazine Based on Data Visualization with Google Data Studio in Tulang Bawang Regency
[IEEE] 2025-12-30 | Smart E-Vehicle Charging Station Finder Integrated using GPS, LSTM Model and Battery State Prediction
[IEEE] 2025-12-30 | Vehicle-to-Grid Power Exchange Optimization for Sustainable Electric Vehicle Charging Operations
[IEEE] 2025-12-30 | Handling Multi-objective Problems On Hybrid Komodo Mlipir Algorithm and Circle Search Algorithm Using Non-dominated Sorting Approach
[IEEE] 2025-12-30 | Design and Analysis of Optimized Low Power Dual-Edge-Triggered Pulse Latches
[IEEE] 2025-12-30 | Absolute Imaging for Electrical Impedance Tomography with Calderón’s Method
[IEEE] 2025-12-30 | AtmoNeuro: A Hybrid 3D-Spatio-Temporal Neural Framework for High-Resolution Probabilistic Global Weather Forecasting
[IEEE] 2025-12-30 | Comparison of different co-located renewables and storage energy management schemes within an energy community
[IEEE] 2025-12-30 | An Efficient Method for Mining Closed Frequent High Average-Utility Occupancy Patterns
[IEEE] 2025-12-30 | Federated Learning-Based Res Forecasting in Smart Grids by Feature Fusion Using Cross Attention Mechanism
[IEEE] 2025-12-30 | Research on Facial Expression Recognition Based on Computer Vision
[IEEE] 2025-12-30 | Coordination Framework for Active and Reactive Power Provision in Curative Schemes
[IEEE] 2025-12-30 | Evaluating the Reproducibility of Machine Learning Models on Healthcare Datasets
[IEEE] 2025-12-30 | PCB Stack-Up Recognition Using LLMs
[IEEE] 2025-12-30 | User-Driven Co-Design Framework for Building Energy Management Systems Services
[IEEE] 2025-12-30 | Soft-Actor-Critic-based Anti-Sway Control for Port Crane Systems with Bounded Disturbances
[IEEE] 2025-12-30 | Validation of VIIRS Sea Ice Concentration Product in Baffin Bay
[IEEE] 2025-12-30 | ICEAA/IEEE APWC Committees
[ACM] 2025-12-30 | MiHazeFree3D: 3D Bounding Box Prediction for Vehicles and Pedestrians in Fog and Low-Light Conditions
[ACM] 2025-12-30 | PCIAFL: Personalized and Class Imbalance-Aware Federated Learning for Driver Behavior Classification
[ACM] 2025-12-30 | DATAMUt: Deterministic Algorithms for Time-Delay Attack Detection in Multi-Hop UAV Networks
[ACM] 2025-12-30 | Enhancing Robustness in Post-Processing Watermarking: An Ensemble Attack Network Using CNNs and Transformers
[IEEE] 2025-12-30 | Vision-Based Policy Learning for High-Speed Autonomous Racing: A Two-Phase Learning Paradigm_supp1-3639812.mp4
[IEEE] 2025-12-30 | Mechanism–Data Fusion Modeling for High-Frequency Vibration Prediction in PWM-Driven Active Magnetic Bearings
[IEEE] 2025-12-30 | A 2.7–15.5 GHz Programmable Bandwidth Continuous-Time Active Filter in 65 nm CMOS
[IEEE] 2025-12-30 | Evolutionary Dynamics of Pairwise and Group Cooperation in Heterogeneous Social Networks
[IEEE] 2025-12-30 | Fabrication of an Optimized Low-loss DNANF Used for Visualization of Poled Domain in PPLN
[IEEE] 2025-12-30 | Design and Implementation of ROS2 Security Module for Performance and Security Harmonization
[IEEE] 2025-12-30 | Key Nodes Prediction and Cascading Failures Mitigation in Dynamic Traffic UASNs Via a GCN-LSTM Model
[IEEE] 2025-12-30 | Design of High Voltage Power Supply Grounding Protection System for Upgrading Pulsed High Magnetic Field Facility in WHMFC
[IEEE] 2025-12-30 | VAE-GAN-Based Semantic Communication for High-Quality Image Transmission
[IEEE] 2025-12-30 | Integrated Super-resolution Sensing and Symbiotic Communication with 3D Sparse MIMO for Low-Altitude UAV Swarm
[IEEE] 2025-12-30 | Negative Voltage Active Turnoff Characteristics of RB-IGCT and Its Low Loss Application in Hybrid Commutated Converter
[IEEE] 2025-12-30 | Cascade Observer Design for a Class of Disturbed Nonlinear Systems with State and Output Delays
[ACM] 2025-12-30 | Editors' Welcome
[IEEE] 2025-12-30 | ML-based Intelligent Threat Identification for Phishing and SQL Injection Attacks
[IEEE] 2025-12-30 | Computing-in-Memory Dataflow for Minimal Buffer Traffic
[IEEE] 2025-12-30 | ReVise: A Human-AI Interface for Incremental Algorithmic Recourse
[IEEE] 2025-12-30 | Global Trade Pattern Analysis Using DBSCAN: Identification of Country Groups Based on Export and Import Trends
[IEEE] 2025-12-30 | Implementation of Fair Chance Round Robin Arbiter and its Comparative Analysis
[IEEE] 2025-12-30 | Heterogeneous Algorithm for Ship Detection Based on Feature Fusion of PConv Combined with SAM
[IEEE] 2025-12-30 | Enhancing Supply Chain Resilience Through Federated Learning and Distributed Edge Intelligence for Real-Time Decisions
[IEEE] 2025-12-30 | Clustering and Association Rule Data Mining for Student Performance Optimization in Free Nutritious Meal Programs Using the Apriori Algorithm and K-Means
[IEEE] 2025-12-30 | Extended Boundary Condition Method for Wave Scattering by Dielectric Cylinders in Planar Layered Medium
[IEEE] 2025-12-30 | Wavelet-Enhanced Hybrid Deep Neural Network for Robust Phonocardiogram Classification Using PhysioNet 2016 Challenge Dataset
[IEEE] 2025-12-30 | Ablation Characteristics of Contact Wires in the Pantograph–Catenary System under Successive Arcing Events
[IEEE] 2025-12-30 | A Deep Learning Model for Real-Time On-Device Marine Oil Spill Detection
[IEEE] 2025-12-30 | Jitter Decomposition Based on Dual-Dirac Model: A Two-Stage Limited-Sampling Algorithm
[IEEE] 2025-12-30 | GAN-Based Image Inpainting and Their Applications in Medical Image Inpainting
[IEEE] 2025-12-30 | Computational Modeling of a Microstrip Antenna and Measurements with a Nano VNA
[IEEE] 2025-12-30 | Identifying and Locating Tree Decline and Dieback in DoñAna Biological Reserve with Venus VM5 Images
[IEEE] 2025-12-30 | Research on Dual-Frequency Miniaturization Multifunctional Coding Metasurface Based on Transmission and Reflection Integration
[IEEE] 2025-12-30 | IoT-based Home Automation System for Energy Conservation
[IEEE] 2025-12-30 | Toward Resilient and Sustainable Energy Systems: Assessment of Networked Microgrids for Disaster-Prone Regions in Indonesia
[IEEE] 2025-12-30 | AnnoLens: Exploration and Annotation through Lens-Based Guidance
[IEEE] 2025-12-30 | Regularized Solution of 2D Scattering from Impedance-Loaded Cavities: The TE-Case
[IEEE] 2025-12-30 | Optimization of Power Configuration Based on the Combined Algorithm of Simulated Annealing Particle Swarm
[IEEE] 2025-12-30 | Optimizing SDN Controllers with Huffman Coding for Smarter Flow Management
[IEEE] 2025-12-30 | Using Dust Plasma Interactions to Shed Light on Magnetic Field Aligned Electron Density Structures in the Magnetized Dusty Plasma EXperiment (MDPX)
[IEEE] 2025-12-30 | A 5.8 GHz Antenna Radiation Pattern with Four-Leaf Clover for Vehicular Communications and Sensing
[IEEE] 2025-12-30 | Design and Implementation of a Solar-Powered Analog RF Jammer for Drone Interception at 2.4 GHz
[IEEE] 2025-12-30 | Simulation and Test of 112Gbps SerDes Power Noise
[ACM] 2025-12-31 | Cell-specific network-based cell type prediction via graph convolutional network using transcriptomics profiles
[IEEE] 2025-12-30 | YOLOv8-based Agricultural Robots for Precision Pollination and Yield Prediction
[IEEE] 2025-12-30 | Adaptive Model Compression for Lightweight Paper AI
[IEEE] 2025-12-30 | Tracking Elbow Angles with Printed Dipole Antennas Through the Passive Extraction of $\mathrm{S}_{11}$ Parameter and Resonant Frequency: A Pilot Study
[IEEE] 2025-12-30 | A Multimodal Approach for Detection of Preeclampsia Risk Analysis using Reinforcement Learning and Agentic AI
[IEEE] 2025-12-30 | Graph Neural Networks for Heart Disease Prediction: A SAGEConv Based Approach
[IEEE] 2025-12-30 | AI-Powered Monitoring System for Analog kWh Meters Using Digital Image Processing and OCR
[IEEE] 2025-12-30 | Variance-Weighted Centroid: A Centroid Estimation Approach for High-Dimensional Data Clustering
[IEEE] 2025-12-30 | DualSpar: A Dual-Granularity Memory Framework with Adaptive Sparsity for Efficient LLM Inference
[IEEE] 2025-12-30 | Instantaneous temperature estimation during short time overload operation of an IGBT
[IEEE] 2025-12-30 | Contactless Biometric Authentication for Autonomous Vehicles
[IEEE] 2025-12-30 | Optimization Accuracy of Crop Yields Soil Fertility Prediction using Machine Learning
[IEEE] 2025-12-30 | Evaluation of Network RTK and Post-Processed Loosely and Tightly Coupled GNSS/IMU Solutions in Vehicle Dynamics
[IEEE] 2025-12-30 | Energy Flow Management in Smart Homes via Pontryagin Minimum Principle
[IEEE] 2025-12-30 | An Enhanced Semi-Supervised Gaussian Fuzzy C-Means Clustering Algorithm for Remote Sensing Image Data Analysis
[IEEE] 2025-12-30 | Optimizing Battery Storage Operation in the MIBEL: Integrating Price Forecasting and Degradation Models
[IEEE] 2025-12-30 | Feasible Operating Region-Based Sampling for Representative OPF Datasets
[IEEE] 2025-12-30 | Efficient Modeling of Multi-Purpose Dual-Band Reflectarray Cells Using Support Vector Regression
[IEEE] 2025-12-30 | Measurement of Fifth Overtone Quality Factor of Quartz Crystal Piezoelectric Sensor with Asymmetric Ring Electrodes
[IEEE] 2025-12-30 | Quantum LSTM with Ant Colony Optimization for Protein Mutation Detection
[IEEE] 2025-12-30 | A Method For Monitoring Intracranial Hemorrhage Based On Electrical Impedance Tomography Technique
[IEEE] 2025-12-30 | An Integrated AI Framework for Tomato Leaf Disease Detection and Severity Assessment
[IEEE] 2025-12-30 | A Computational Intelligence Approach Using Fuzzy Tsukamoto for Investment Feasibility Assessment Based on Financial Ratios
[IEEE] 2025-12-30 | Measurement of Underwater Electrical Explosion Shock Wave and Bubble Pulse
[IEEE] 2025-12-30 | AI Agent Architecture for Decentralized Trading of Alternative Assets
[IEEE] 2025-12-30 | On the Design of Mobility-Aware Systems: A Tourist’s Perspective
[IEEE] 2025-12-30 | Parameterizing Nonlinear Behavior of Short Circuit Current with Inverter-Based Resources
[IEEE] 2025-12-30 | Coordinated Control of an Electric-Hydrogen based DC Microgrid for green transportation
[IEEE] 2025-12-30 | Research on Online Traffic Identification Technology in Satellite Networks
[IEEE] 2025-12-30 | Research on Computer Vision in Rooftop Photovoltaic Terrace Area Behavior Recognition System
[IEEE] 2025-12-30 | A Zero-Shot Framework for Automated Media Framing Analysis using Large Language Models
[IEEE] 2025-12-30 | Compact $6 \times 6$ Nolen Matrix with Lumped Elements in UHF Band
[IEEE] 2025-12-30 | DCAE: An Attention-Guided Denoising-Andclassification Autoencoder for Brain-Tumor MRI with CBAM and Skip Connections
[IEEE] 2025-12-30 | Exploratory Study of Deployment of Demand Reduction Through Voltage Control
[IEEE] 2025-12-30 | A Real-Time GCN and AI Agent Framework for Sustainable Supply Chain Management Under Disaster Scenarios
[IEEE] 2025-12-30 | An Enhanced Deep Learning and Radiomics-based Software Pipeline for Uterine Fibroid Detection in MRI
[IEEE] 2025-12-30 | Active Harmonic Compensating Power Supply for Primary Circuits of Power System
[IEEE] 2025-12-30 | Research on Network Intrusion Detection Algorithm Based on Deep Learning
[IEEE] 2025-12-30 | A Mathematical Framework for Digital Twins of Cyber-Physical Energy Systems
[IEEE] 2025-12-30 | Malware Detection Analysis Using Gated Graph Neural Networks and Graph Convolutional Networks
[IEEE] 2025-12-30 | Detection of Data Center Load Loss Event with Wide-Area-Monitoring-System
[IEEE] 2025-12-30 | Smart HVAC System Controllers Addressing Preservation Requirements in Historic Buildings
[IEEE] 2025-12-30 | XDMA: A Distributed, Extensible DMA Architecture for Layout-Flexible Data Movements in Heterogeneous Multi-Accelerator SoCs
[IEEE] 2025-12-30 | Deep Learning-Based Image Retrieval of Crab Species Through Analysis of Shape Characteristics
[IEEE] 2025-12-30 | Modal Analysis and Suppression of Sub-synchronous Oscillation in Doubly-fed Wind
[IEEE] 2025-12-30 | Root-Cause Assessment of Interactions Caused by Controllers of Inverter Based Resources
[IEEE] 2025-12-30 | Dynamic Graph Neural Networks for Uncertainty-Aware Residential Photovoltaic Power and Load Disaggregation
[IEEE] 2025-12-30 | Penetration Testing in Wind Farms: Detection and Impact Analysis
[IEEE] 2025-12-30 | Title Page i
[IEEE] 2025-12-30 | Index Author
[IEEE] 2025-12-30 | Multi-factor spatial downscaling of satellite precipitation based on vegetation index and elevation
[IEEE] 2025-12-30 | Dynamic Event-Triggered Optimized Backstepping Control for Strict-Feedback Nonlinear Systems With Communication Constraints_supp1-3649129.pdf
[IEEE] 2025-12-30 | GFS-edge: Graph Fuzzy System for Edge Prediction_supp1-3649146.pdf
[IEEE] 2025-12-30 | Benchmarking Explainable Argumentation Dialogue via Freeman’s Theory
[IEEE] 2025-12-30 | FocusPatch AD: Few-Shot Multi-Class Anomaly Detection with Unified Keywords Patch Prompts
[IEEE] 2025-12-30 | SPTM: A Transformer-Mamba Decoder with Superpoint Pooling for Semantic Segmentation of Power Tower Point Clouds
[IEEE] 2025-12-30 | Table of Contents
[IEEE] 2025-12-30 | EMP Injection for Post-fabricated R
                    <sub>ON</sub>
                    -BV Optimization in Bulk LDMOS and AI-Assisted Mechanism Analysis
[IEEE] 2025-12-30 | AGILE-6G: Agentic AI for Autonomous Management of 6G Network/Application Services
[ACM] 2025-12-30 | UPSILON PI EPSILON: Honor Society Evolution and Transitions
[IEEE] 2025-12-30 | Hybrid Attention Lagrangian Variational Autoencoder With Latent Representation Disentanglement for Fault Diagnosis Under Time-Varying Operating Conditions
[IEEE] 2025-12-30 | Evaluating Large Language Models for Line-Level Vulnerability Localization
[IEEE] 2025-12-30 | Multimodal Smart Glove System Based on Flexible Optical Fibers and Inertia Sensor Hybrid
[IEEE] 2025-12-30 | 2025 5th International Conference on Code Quality (ICCQ)
[IEEE] 2025-12-30 | ISPCE-ASIA 2025 Cover Page
[IEEE] 2025-12-30 | Half Title Page
[IEEE] 2025-12-30 | MSWiM 2025 Cover Page
[IEEE] 2025-12-30 | ICoAIT 2025 Commentary
[IEEE] 2025-12-30 | Table of Contents
[IEEE] 2025-12-30 | ICWAPR 2025 Author Index
[IEEE] 2025-12-30 | Stage Division of GNSS Spoofing Code Phase Traction and Loop Response Analysis
[IEEE] 2025-12-30 | TAYLORS: A Fast, Scalable Yet Lightweight Protocol for Resilient Synchronization of WSN
[IEEE] 2025-12-30 | Wheat Seed Orientation Detection Method Research for Mirco-invasive Sampling by Improved Deep-learning Framework
[IEEE] 2025-12-30 | SmartAid: Adaptive AI-Driven System for Merit-Based Scholarship Forecasting
[IEEE] 2025-12-30 | Aspect-Based Sentiment Analysis of Indonesian Football Team's Instagram Comments using Naive Bayes
[IEEE] 2025-12-30 | Attention-Enhanced CNN for Motor-Impaired Handwritten Alphabet Recognition with Explainable AI
[IEEE] 2025-12-30 | OXGCGN: Optimized Explainable Deep Learning for Lung Cancer Detection using CT Images
[IEEE] 2025-12-30 | Enhancing Forensic Face Construction with Realtime Recognition using Deep Learning and OpenCV
[IEEE] 2025-12-30 | Designing for Simplicity: Lessons from a Minimalist EV Charging App
[IEEE] 2025-12-30 | Data Clustering for Tax Incentives Determination: A Hybrid Manhattan Frequency K-Means and Particle Swarm Optimization Approach
[IEEE] 2025-12-30 | Optimization of Space-Time Coding Metasurface by a Quantum Annealing-Inspired Algorithm
[IEEE] 2025-12-30 | Optimal Inertia Procurement in Future Synthetic-Inertia-Dominated Power Systems: A Public Goods Game Approach
[IEEE] 2025-12-30 | Quantifying the Effects of Long-lasting Unavailabilities due to Extreme Events on Power System Adequacy
[IEEE] 2025-12-30 | Towards Transferable Deep Reinforcement Learning Policies with high Post-Deployment Performance in Smart Grids
