[2025-12-03 09:14:25] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-02
正在获取论文...
[arXiv] 2025-12-02 | On the ellipticity of the higher rank numerical range
[IEEE] 2025-12-2 | VersaAccel: A Versatile Configurable Accelerator for Diverse Sparse-Dense Matrix Operators
[IEEE] 2025-12-2 | Table of Contents
[IEEE] 2025-12-2 | Spectral Calibration of the Microwave Electrojet Magnetogram Radiometer Instrument on the Electrojet Zeeman Imaging Explorer Mission
[IEEE] 2025-12-2 | Population Historical Information-Driven Evolutionary Multitask Neural Architecture Search
[IEEE] 2025-12-2 | IEEE Antennas and Wireless Propagation Letters Publication Information
[ACM] 2025-12-2 | Real-Time Encrypted Emotion Recognition Using Homomorphic Encryption
[ACM] 2025-12-2 | DopFone: Doppler-Based Fetal Heart Rate Estimation Using Commodity Smartphones
[ACM] 2025-12-2 | Audio Augmentation of Manual Interactions to Support Mindfulness
[IEEE] 2025-12-2 | Fuzzy Membership-Driven Adaptive Sample Mining for Facial Expression Recognition
[IEEE] 2025-12-2 | An Adaptive Protection Scheme for DC Micro-grid
[IEEE] 2025-12-2 | Loss Modeling and Harmonic Analysis of Five Phase VSI Driven IM for EV Applications
[IEEE] 2025-12-2 | Reinforcement Learning for Quantum Phase Estimation Using Deep Q-Network
[IEEE] 2025-12-2 | Order Reduction of Flyback Converter Using Direct Truncation and Routh Approximation Method
[IEEE] 2025-12-2 | Inverted BER Trends for Energy-Detected GRSM-MQAM Massive MIMO Downlink
[IEEE] 2025-12-2 | Green Bot: An Intelligent Chat-Based Assistant for Agricultural Support
[IEEE] 2025-12-2 | Breast Cancer Classification Using Machine Learning Technique
[IEEE] 2025-12-2 | DeNSAINet: DDoS Attack Detection using Neuro-Symbolic AI in Softwarized Networks
[IEEE] 2025-12-2 | A Multilingual Handwritten OCR System Using CNN-BiLSTM-CTC
[IEEE] 2025-12-2 | Design and Analysis of an MPP-Operated Single-Stage Grid-Forming Photovoltaic Inverter Using Virtual Synchronous Generator Control
[IEEE] 2025-12-2 | Tuberculosis Lesion Classification and Detection Method Guided by Attention Mechanism
[IEEE] 2025-12-2 | From Static Benchmarks to Online Reality Dynamics: Contextual UCB for Movie Recommendations with Drift and Forgetting
[IEEE] 2025-12-2 | Physical Adversarial Attack Technique Based on Fractal against Infrared Object Detector
[IEEE] 2025-12-2 | Real-Time Detection and Extraction of Invasive Aquatic Weeds Using YOLO and Autonomous Robotics: A Sustainable Solution
[IEEE] 2025-12-2 | Research on the Current Situation, Core Challenges and Countermeasures for High-Quality Development of China's Nanomaterials Industry
[IEEE] 2025-12-2 | Research on Digital Image Correlation (DIC) &amp; Key Technologies Driven by AI: A Review
[IEEE] 2025-12-2 | Research on Personal Information Security Protection Mechanisms Driven by Encrypted Blockchain
[IEEE] 2025-12-2 | A Unified EKF Framework for SOC and Parameter Estimation in NCR type Lithium-Ion Batteries: Modeling and Comparison with Coulomb Counting
[IEEE] 2025-12-2 | Low-Resource Language Identification Using Convolutional Recurrent Neural Networks for Indian Languages
[IEEE] 2025-12-2 | Majority Logic Based Hybrid Nonvolatile Full Adder for CIM Architecture
[IEEE] 2025-12-2 | Optimizing Data Availability and Performance in Cloud Storage with Hybrid Network-Coding and Object-Based Storage Systems
[IEEE] 2025-12-2 | Evaluating Hallucinations in Large Language Models(LLM):Metrics and Mitigation
[IEEE] 2025-12-2 | An Assembly Instruction-Based Machine Learning Approach for Detecting Cryptocurrency Malware
[IEEE] 2025-12-2 | Image Encryption and Decryption using Deep Learning: A Comprehensive Review
[IEEE] 2025-12-2 | Energy management of fuel cell-battery hybrid electric vehicle in mountainous regions using real time dynamic rule-based approach
[IEEE] 2025-12-2 | Performance Evaluation of Routing Algorithms in FANETs for Disaster Management System: A Lab-Based Study
[IEEE] 2025-12-2 | Inferring CAF-1/p60 Expression from Hematoxylin and Eosin Stained Images in Oral Squamous Cell Carcinoma
[IEEE] 2025-12-2 | Modelling Electric Vehicle Energy Consumption for Smart Grid Management using AI
[IEEE] 2025-12-2 | Near Zero Ripple Input Current Quadratic Boost Converter
[IEEE] 2025-12-2 | Verification and Validation of Dynamic Reconfiguration in Integrated Modular Avionics With a Matlab/Simulink Arinc 653 Blockset
[IEEE] 2025-12-2 | A Novel Two-Stage BiLSTM-XGBoost Hybrid Model for Drive Failure Prediction in Data Center
[IEEE] 2025-12-2 | Single-Stage Solar Photovoltaic-Based EV Battery Charging with MPPT and Charging Current Control
[IEEE] 2025-12-2 | Ovarian Cancer Detection using Soft-Attention-Enhanced EfficientNet and Confidence Interval Evaluation
[IEEE] 2025-12-2 | Enhancing Human-Computer Interaction Through Facial Electromyography: Analyzing Frontalis and Masseter Muscle Signals
[IEEE] 2025-12-2 | Design and Development of Intelligent Expressway using Edge Computing and Internet of Things
[IEEE] 2025-12-2 | Weighted Ensemble Frameworks for Predictive Accuracy in Water Quality Classification
[IEEE] 2025-12-2 | Improved ARIMA-BP Algorithm for Safety Control of Railway Cable-Stayed Bridge Construction Under Uncertain Wind Loads
[IEEE] 2025-12-2 | A Novel q-component Based Time-Voltage-Current Characteristics for Microgrid Protection Using Numerical Relays with FPGA Implementation
[IEEE] 2025-12-2 | Experimental Evaluation of Neural Network Complexity in Constrained Hardware Environments
[IEEE] 2025-12-2 | Artificial Synaptic Memristor Based on Ag-ChG Material
[IEEE] 2025-12-2 | Design and Evaluation of a Modern Controller Working Position Using High-Fidelity Mock-Ups
[IEEE] 2025-12-2 | Wind and Hydro Energy Forecasting using Machine Learning Techniques
[IEEE] 2025-12-2 | Multidimensional Decision Analysis Based on Random Forest and AHP - CRITIC Algorithm
[IEEE] 2025-12-2 | Early Detection and Intervention of Students’ Depression Risk Factors using Predictive Models: Insights and Implications
[IEEE] 2025-12-2 | Electricity Price Forecasting based on Sliding Window BO-BiLSTM Framework considering Renewable Integration
[IEEE] 2025-12-2 | Order Reduction of High-Frequency Flyback Converters Using Direct Truncation: A Trade-Off Between Computational Efficiency and Accuracy
[IEEE] 2025-12-2 | Research on Path Planning for All-Terrain Automated Guided Vehicles Based on an Improved RRT Algorithm
[IEEE] 2025-12-2 | Evaluation of the Graphics Capabilities of Next Generation Avionics GPUs
[IEEE] 2025-12-2 | Experimental Investigation on Performance Characteristics of Pem Fuel Cell
[IEEE] 2025-12-2 | Simulation and Optimization of AlGaN/GaN HEMTs Using HfO
                    <sub>2</sub>
                    Gate Oxide and Fe Trap Layer for High Power Performance
[IEEE] 2025-12-2 | A Deep Learning Framework using Attention Mechanism for Human Activity Recognition
[IEEE] 2025-12-2 | Mitigating Congestion in IoT-Driven SDN Environments: An Intelligent Traffic-Aware Flow Optimization Approach
[IEEE] 2025-12-2 | A Method for Determining the Saliency of 3D Point Cloud Based on Lightweight Artificial Neural Network
[IEEE] 2025-12-2 | A Hybrid Federated Learning and Deep Learning Approach for Time Series Forecasting in Distributed System
[IEEE] 2025-12-2 | Simulation of Directional Droplet Spreading on Tri-Directionally Anisotropic Slippery Surface
[IEEE] 2025-12-2 | A distributed energy generation scheduling algorithm based on reinforcement learning
[IEEE] 2025-12-2 | Cascaded Hybrid 19-Level Three-Phase Inverter with Small-Sized Switched-Capacitors
[IEEE] 2025-12-2 | Quantum Enhanced Anomaly Detection for ADS-B Data Using Hybrid Deep Learning
[IEEE] 2025-12-2 | Translation of Artificial Intelligence-Based Virtual Reality Interaction Design Optimization Model
[IEEE] 2025-12-2 | Tomato Leaf Disease Detection Using EfficientNetB3
[IEEE] 2025-12-2 | Improving Fruit Detection and Quality Analysis via HSI and Deep Learning
[IEEE] 2025-12-2 | Simulation Study on Human-Like Decision-Making and Planning for Intelligent Vehicles Based on Deep Learning
[IEEE] 2025-12-2 | Early Detection of Breast Cancer Using Supervised Machine Learning: A Comparative Analysis of Classifiers
[IEEE] 2025-12-2 | Rapid diagnosis of osteosarcoma and bone callus through convolutional neural networks and image processing
[IEEE] 2025-12-2 | MGA-KGF: A Multi-Granularity Adaptive Knowledge Graph Fusion Framework for Heterogeneous Multi-Source Smart Grid Data
[IEEE] 2025-12-2 | A Passive Wi-Fi Radar Human Activity Recognition Algorithm Based on BiLSTM Time-Frequency Analysis
[IEEE] 2025-12-2 | Sliding Mode Control Based Analysis of Photovoltaic and Fuel Cell Integrated Hybrid Electric System
[IEEE] 2025-12-2 | Solving Data Aggregation in Wireless Sensor Networks Using Policy Iteration and Value Iteration
[IEEE] 2025-12-2 | Enhancing SAP Predictive Maintenance and Industrial Analytics with LLM-Driven Automation
[IEEE] 2025-12-2 | Performance Evaluation of a Pitch Controller to Protect an E 115/3 MW Wind Turbine under Strong Wind Conditions in Benin
[IEEE] 2025-12-2 | Generative Explainability for Next-Generation Networks: Llm-Augmented Xai with Mutual Feature Interactions
[IEEE] 2025-12-2 | Adapting a Large Diffusion Transformer with Conditional Flow Matching for the Synthesis of Realistic Sri Lankan Faces
[IEEE] 2025-12-2 | Research on the authentication method of distributed energy storage charging pile entry based on quantum encryption technology
[ACM] 2025-12-2 | Service-Based Digital Platform for Industrial Field Operations
[ACM] 2025-12-2 | Bridging Climbing and Interactive Smart Spaces for Children
[IEEE] 2025-12-2 | Sponsors
[IEEE] 2025-12-2 | Multi Junction Photovoltaic Cell Modeling and Performance Enhancement using MPPT
[IEEE] 2025-12-2 | WiMob 2025 Welcome Message from the General Chair
[IEEE] 2025-12-2 | Table of Contents
[IEEE] 2025-12-2 | Table of Contents
[IEEE] 2025-12-2 | Table of Contents
[IEEE] 2025-12-2 | A Low-Loss Wideband mmWave Filter Chip With Slot-Loaded Harmonic Suppression Based on Multimode Quarter-Mode SIW
[IEEE] 2025-12-2 | Enhanced Multi-Scale PoseNet for Self-Supervised Monocular Depth Estimation
[ACM] 2025-12-2 | Proceedings of the 1st ACM SIGSPATIAL International Workshop on Polar Data Science
[ACM] 2025-12-2 | Concept-Driven Deep Learning for Enhanced Protein-Specific Molecular Generation
[ACM] 2025-12-2 | High-Spatiotemporal-Resolution PM2.5 Mapping in California: 6-Hourly Estimates with 3-km HRRR-Smoke
[ACM] 2025-12-2 | Controllable Generation of Large-Scale 3D Urban Layouts with Semantic and Structural Guidance
[ACM] 2025-12-2 | PHOENIX: Protocol State Machine Recovery from Events in 5G Logs
[ACM] 2025-12-2 | From Points to Places: Towards Human Mobility-Driven Spatiotemporal Foundation Models via Understanding Places
[ACM] 2025-12-2 | FLATTN: Bridging Temporal Resolution Disparities via Attention Alignment in Federated Distillation for Human Activity Recognition
[IEEE] 2025-12-2 | Inverse Design of Bend-Resistant Photonic Crystal Fibers Based on DNN with Feature Analysis
[IEEE] 2025-12-2 | Statistical Models of Battery Packs Considering Cell-to-Cell Variations for Degradation Characteristics and Reliability Analysis_supp1-3638459.pdf
[IEEE] 2025-12-2 | Hybrid Statistical Model and Rule-based Algorithm for Legal Analysis: A Case Study on Thai Offences against Property
[IEEE] 2025-12-2 | An Efficient Adaptive Fringe Projection Framework for High Dynamic Range 3D Measurement via Phase Differential Mapping and Residual-Robust Optimization
[IEEE] 2025-12-2 | DRL-Driven STAR-RIS Assisted Secure Communication with HPPP Eavesdroppers
[ACM] 2025-12-2 | ScatterShield: Defending Against Unauthorized WiFi Sensing with Backscatter Tags
[ACM] 2025-12-2 | Stick, Swipe, Secure: Acoustic Cross-Device User Authentication via a Low-Cost Passive Fingerprint Sticker
[ACM] 2025-12-2 | FreeBFI: Enabling Fine-grained BFI Sensing with an Arbitrary Number of Antennas
[IEEE] 2025-12-2 | Modelling Covalent Inhibitors of Protein Kinases Using Deep Learning Techniques
[IEEE] 2025-12-2 | Comparison of Different TinyML Implementations for an Industrial Control System
[IEEE] 2025-12-2 | HRCyolo: High-Resolution Cell Detection via Super-Resolution and Attention Mechanisms
[IEEE] 2025-12-2 | Machine Learning-Powered Decision Support for Fetal Health Assessment Using CTG Data
[IEEE] 2025-12-2 | Mitigation of Current Harmonics in Electric Vehicle Chargers
[IEEE] 2025-12-2 | Implicit Hate Speech Detection Based on Sentiment and Common Sense Knowledge Enhancement
[IEEE] 2025-12-2 | Explainable and Adversarially Evaluated CNN for Visual Phishing Detection
[IEEE] 2025-12-2 | CC-CV Control of Single Phase Single Stage Isolated Boost PFC Converter for Electric Vehicle Charging
[IEEE] 2025-12-2 | MVReID-Former: Multi-View Vision Transformer for Cross-Camera Person and Vehicle Re-Identification in Surveillance Networks
[IEEE] 2025-12-2 | Robust Optimization of Service Deployment in Edge Computing Environments
[IEEE] 2025-12-2 | Design, Analysis, and Experimental Validation of Surface-Modified Inchworm-Based Piezoelectric Actuators
[IEEE] 2025-12-2 | Receding Horizon Weather Navigation Using Learned Navigation Policies
[IEEE] 2025-12-2 | Optimal Control Design for UAV Systems using Whale Optimization Enhanced LQR Approach
[IEEE] 2025-12-2 | Secondary Disease Detection of Bridges via YOLO11n Model and UAV Path Planning
[IEEE] 2025-12-2 | Low Power ALU Design using Pre-Computational LUT for RV32M Processor
[IEEE] 2025-12-2 | Model Predictive Control of DC Bus Voltage in a Solar PV-Battery System Using a Bidirectional DC-DC Converter
[IEEE] 2025-12-2 | Research on the Construction of Computer-Aided Design System in University Visual Communication
[IEEE] 2025-12-2 | Multi-regional power grid anomaly detection coordination mechanism based on federated transfer learning
[IEEE] 2025-12-2 | Potential and Challenges of Large Baseline Distributed Systems for Space-Based Space Surveillance
[IEEE] 2025-12-2 | Model-Based Safety Assessment of a Hybrid Fly-by-Wire Flight Control System for a Light Sport Aircraft
[IEEE] 2025-12-2 | Simulation of Photovoltaic Green Hydrogen Production: A Case Study for Howrah Junction
[IEEE] 2025-12-2 | STATCOM Integrated DC Microgrid based EV Charging Infrastructure - FA Controller Tuning for Optimal Response
[IEEE] 2025-12-2 | SG-VAE: Explainable Semi-Generative Model for Attack Detection in IoT Healthcare Systems
[IEEE] 2025-12-2 | Review of MPPT Techniques for Dynamic Partial Shading in Solar PV Systems
[IEEE] 2025-12-2 | Adaptive Neural Relaying for Rural Networks Integrated with PV and Wind Distributed Generations
[IEEE] 2025-12-2 | Power and Area Efficient Processing Element (PE) of CNN Accelerator for Object Detection
[IEEE] 2025-12-2 | Advanced Autocorrelation Spectral Density Analysis for Signal Contamination Mitigation in Radiosonde Data
[IEEE] 2025-12-2 | Thermal analysis of underground vegetable storage in extreme cold climate of Leh
[IEEE] 2025-12-2 | V2G and Delayed Charging for EV Battery Longevity
[IEEE] 2025-12-2 | Implementation of Talkative Power Conversion with PWM FSK and PSK in Three-Level T-type Inverter
[IEEE] 2025-12-2 | Closed Loop Control of Permanent Magnet Synchronous Motor (PMSM) Drive
[IEEE] 2025-12-2 | Towards Explainable Retinal Vessel Segmentation: A Deep Learning Approach
[IEEE] 2025-12-2 | Multi-objective dung beetle optimisation algorithm
[IEEE] 2025-12-2 | Creative Product Modeling and Design to Revitalize the Inheritance of Intangible Cultural Heritage
[IEEE] 2025-12-2 | Research on Regional Geological Hazard Susceptibility Model Based on Frequency Ratio Support Vector Machine
